time_dbl1 (sec),      time (at Earth),   flux w/o and w/ background (photons/sec), exptime (s);  bkg_interval, lc_bkg: 2014/09/01 09:40:00 2014/09/01 10:03:00       6986981.
      24900.0  2014-09-01T14:55:56.485        1810179.       8797160.        8.00771
      25200.0  2014-09-01T15:00:56.490        1853967.       8840948.        8.00770
      25500.0  2014-09-01T15:05:56.484        1811448.       8798429.        8.00770
      25800.0  2014-09-01T15:10:56.488        1839493.       8826474.        8.00770
      26100.0  2014-09-01T15:15:56.487        1782894.       8769875.        8.00769
      26400.0  2014-09-01T15:20:56.485        1902851.       8889832.        8.00772
      26700.0  2014-09-01T15:25:56.484        1928204.       8915185.        8.00770
      27000.0  2014-09-01T15:30:56.484        1942124.       8929105.        8.00770
      27300.0  2014-09-01T15:35:56.485        2014290.       9001271.        8.00769
      27600.0  2014-09-01T15:40:56.485        1938239.       8925220.        8.00770
      27900.0  2014-09-01T15:45:56.483        2238539.       9225520.        8.00771
      28200.0  2014-09-01T15:50:56.486        2041749.       9028730.        8.00770
      28500.0  2014-09-01T15:55:56.481        2015045.       9002026.        8.00769
      28800.0  2014-09-01T16:00:56.483        2036576.       9023557.        8.00770
